nr	PrisPerLiter	fyllighet	stravhet	fruktsyra	Namn	desc	Forpackning
7178401	Chateauneuf-du-Pape	305.33	9	7	9	Kryddigt, smakrikt vin med inslag av hallon, inslag av vitpeppar, inslag av lagerblad, inslag av körsbär, inslag av örter	Flaska
216301	Tamaral	172.00	10	9	10	Nyanserad smak med rostad fatkaraktär, inslag av mörka körsbär, inslag av plommon, inslag av kokos, inslag av kardemumma, inslag av kaffe, inslag av choklad	Flaska
244102	Alto	210.67	9	9	9	Nyanserad, fruktig smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av mynta, inslag av plommon, inslag av ceder, inslag av choklad, inslag av kaffe	Flaska
244208	Sangre de Toro	79.67	7	7	9	Fruktig smak med inslag av fat, inslag av plommon, inslag av lakrits, inslag av björnbär, inslag av kryddor, inslag av viol	Box
244401	Groot Constantia	198.67	10	8	9	Fruktig, nyanserad smak med rostad fatkaraktär, inslag av björnbär, inslag av örter, inslag av choklad, inslag av svartpeppar, inslag av örter, inslag av körsbär	Flaska
548901	Mercurey Premier Cru	265.33	5	5	10	Kryddig, nyanserad smak med fatkaraktär, inslag av skogshallon, inslag av kanel, inslag av körsbär, inslag av sandelträ, inslag av pomerans	Flaska
7569601	Hacienda López de Haro	118.67	7	7	10	Kryddig smak med fatkaraktär, inslag av körsbär, inslag av svarta vinbär, inslag av choklad, inslag av örter	Flaska
217401	Dão Outeiro	65.33	8	8	9	Fruktig, kryddig smak med inslag av fat, inslag av björnbär, inslag av rosépeppar, inslag av plommon, inslag av lavendel, inslag av örter, inslag av vanilj	Flaska
7180201	Corniolo	172.00	10	9	10	Nyanserad, utvecklad smak med fatkaraktär, inslag av svarta vinbär, inslag av korinter, inslag av tobak, inslag av choklad, inslag av lagerblad, inslag av pomerans, inslag av nötter	Flaska
643001	Lindemans	96.00	7	6	9	Fruktig smak med inslag av svarta vinbär, inslag av björnbär, inslag av örter, inslag av lakrits	PET-flaska
7550601	Grande Alberone	118.67	8	7	9	Kryddig smak med fatkaraktär, inslag av katrinplommon, inslag av mintchoklad, inslag av kaffe, inslag av vanilj	Flaska
7460401	Châteauneuf-du-Pape	238.67	8	8	9	Kryddig smak med inslag av fat, inslag av hallon, inslag av vitpeppar, inslag av mörka körsbär, inslag av kanel, inslag av lagerblad	Flaska
601101	Robert Mondavi	166.67	9	8	9	Mycket fruktig smak med rostad fatkaraktär, inslag av plommon, inslag av mynta, inslag av mörka körsbär, inslag av svartpeppar, inslag av vanilj	Flaska
620301	Chateau Ste Michelle	172.00	10	9	9	Fruktig, balanserad smak med rostad fatkaraktär, inslag av mörka körsbär, inslag av tobak, inslag av svarta vinbär, inslag av kakao, inslag av plommon, inslag av vanilj	Flaska
681601	The Great Bonza	105.33	9	8	9	Mycket fruktig smak med rostad fatkaraktär, inslag av mörka bär, inslag av plommon, inslag av pepparmynta, inslag av choklad, inslag av lakrits	Flaska
1235701	Brunello di Montalcino	372.00	9	9	10	Nyanserad, utvecklad smak med fatkaraktär, inslag av russin, inslag av ceder, inslag av torkade tranbär, inslag av kakao, inslag av nypon, inslag av kanel, inslag av salvia	Flaska
280401	Alamos	145.33	10	10	10	Nyanserad, fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av choklad, inslag av plommon, inslag av kaffe, inslag av peppar, inslag av vanilj	Flaska
7419001	Masi Bell'Ovile	153.33	8	7	9	Fruktig smak med fatkaraktär, inslag av plommon, inslag av mörka körsbär, inslag av lavendel, inslag av choklad, inslag av örter	Flaska
231501	Donovan-Parke	145.33	6	5	9	Kryddig smak med rostad fatkaraktär, inslag av jordgubbar, inslag av nougat, inslag av körsbär, inslag av sandelträ, inslag av örter, inslag av vanilj	Flaska
214301	Sense Cap	105.33	7	7	9	Ungdomlig, fruktig smak med inslag av hallon, inslag av viol, inslag av körsbär, inslag av mynta, inslag av lakrits, inslag av kryddor	Flaska
687401	Canepa Famiglia	105.33	8	8	9	Fruktig smak med inslag av svarta vinbär, inslag av ceder, inslag av blåbär, inslag av örter, inslag av lakrits	Flaska
244501	Chill Out	79.00	7	7	9	Mycket fruktig smak med inslag av fat, inslag av körsbär, inslag av björnbär, inslag av choklad, inslag av kryddor, inslag av plommon	PET-flaska
363501	Mas Sinén Negre	265.33	10	10	10	Smakrikt vin med rostad fatkaraktär, inslag av mörka körsbär, inslag av örter, inslag av svartpeppar, inslag av plommon, inslag av kaffe, inslag av svarta oliver, inslag av kakao	Flaska
7900001	Amarone della Valpolicella	305.33	10	8	9	Kryddig smak med fatkaraktär, inslag av körsbär, inslag av romrussin, inslag av vanilj, inslag av choklad	Flaska
7653501	Piemonte Barbera	132.00	9	7	9	Mycket fruktig smak med fatkaraktär, inslag av mörka körsbär, inslag av vanilj, inslag av blåbärssylt, inslag av mynta, inslag av hallon	Flaska
237601	Quercia al Poggio	185.33	9	9	10	Kryddig, nyanserad smak med fatkaraktär, inslag av körsbär, inslag av kanel, inslag av nougat, inslag av hallon, inslag av vanilj	Flaska
233601	La Fontanina	532.00	11	10	10	Kryddig, nyanserad smak med fatkaraktär, inslag av mörka körsbär, inslag av plommon, inslag av chokladpraliner, inslag av ceder, inslag av pomerans, inslag av vanilj	Flaska
7837501	Jacob's Creek	200.00	10	9	9	Generöst fruktig smak med tydlig fatkaraktär, inslag av björnsbärssylt, inslag av choklad, inslag av vanilj, inslag av lakrits, inslag av plommon	Flaska
7572201	Barbera d'Alba	145.33	7	6	10	Fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av blåbär, inslag av örter, inslag av lakrits, inslag av hallon	Flaska
7837701	Barbera	105.33	8	8	10	Kryddig smak med fatkaraktär, inslag av blåbär, inslag av körsbär, inslag av salvia, inslag av russin och svart te.	Flaska
7180501	Valpolicella Ripasso	145.33	8	7	10	Kryddig smak med fatkaraktär, inslag av körsbär, inslag av kryddnejlika, inslag av hallon, inslag av kanel, inslag av vanilj	Flaska
1236301	Amarone Classico	278.67	9	9	9	Kryddig, aningen utvecklad smak med inslag av fat, inslag av torkade körsbär, inslag av choklad, inslag av nougat, inslag av russin, inslag av kanel	Flaska
7861401	Bourgogne	198.67	4	4	10	Bärig smak med inslag av fat, inslag av hallon, inslag av lingon, inslag av muskot, inslag av örter	Flaska
1236601	Capitel de'Roari	260.00	10	10	10	Kryddig, aningen utvecklad smak med fatkaraktär, inslag av torkade körsbär, inslag av salvia, inslag av romrussin, inslag av kryddpeppar, inslag av kanel, inslag av kakao	Flaska
7203201	Vanitá	109.33	8	7	9	Mycket fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av björnbär, inslag av hallon, inslag av vanilj och mynta. 	Flaska
1269701	Torres Gran Coronas	145.33	9	8	9	Fruktig, aningen utvecklad smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av choklad, inslag av mörka körsbär, inslag av korinter, inslag av tobak	Flaska
7851101	Tom Legend	132.00	8	6	8	Generöst fruktig smak med fatkaraktär och liten sötma, inslag av björnbär, inslag av vanilj, inslag av jordgubbar, inslag av mynta, inslag av choklad	Flaska
1260101	Conde de Valdemar	198.67	9	8	9	Utvecklad, kryddig, nyanserad smak med fatkaraktär, inslag av torkad frukt, inslag av dill, inslag av korinter, inslag av tobak, inslag av kakao	Flaska
285201	Château Pineraie	141.33	10	10	10	Nyanserad, fruktig smak med fatkaraktär, inslag av blåbär, inslag av örter, inslag av hallon, inslag av kakao, inslag av svarta vinbär, inslag av lagerblad, inslag av peppar	Flaska
307101	Château Capbern Gasqueton	372.00	9	9	9	Nyanserad smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av kaffe, inslag av plommon, inslag av choklad, inslag av svart te, inslag av ceder	Flaska
233401	Ciù Ciù di Bartolomei	105.33	8	8	9	Fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av choklad, inslag av lakrits, inslag av kanel	Flaska
7882501	Côtes-du-Rhône Villages	145.33	8	8	9	Kryddig, fruktig smak med inslag av skogshallon, inslag av kryddpeppar, inslag av mörka körsbär, inslag av lagerblad, inslag av örter	Flaska
313401	Domaine Laougué	114.67	9	10	10	Fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av kaffe, inslag av rosépeppar, inslag av slånbär, inslag av björnbär, inslag av kakao	Flaska
7270401	Espiritu de Chile	105.33	7	7	9	Mycket fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av vanilj, inslag av skogshallon, inslag av lakrits, inslag av örter	Flaska
310401	Alma do Tejo	92.00	6	6	9	Fruktig, kryddig smak med inslag av björnbär, inslag av viol, inslag av blåbär, inslag av oregano	Flaska
